Qubit,Pair,T1 (µs),T2 (µs),f1QRB,f1QRB std err,f1Q sim. RB,f1Q sim. RB std err,fRO,fISWAP,Avg T1,Avg T2,Avg f1QRB,Avg fRO
,0-7,,,,,,,,0.8988795003564467,0.000040048920330604254,0.00003348489920618203,0.9990389237946959,0.9815
,1-2,,,,,,,,0.9808428186721462,0.000023000755174029663,0.00001090104075707199,0.9989357436704049,0.9655
,1-8,,,,,,,,0.9811031793719075,0.000030195553781697804,0.000013743330609994331,0.999147654110196,0.969
,2-3,,,,,,,,0.5,0.000042451707413682094,0.000023466282625839163,0.9992231581821043,0.978
,2-9,,,,,,,,0.8822524970666159,0.000031944384010773597,0.00001755306540596191,0.9989468373150485,0.9764999999999999
,3-4,,,,,,,,0.5,0.00005038501587251165,0.000026918128018915688,0.9990332520203473,0.9795
,3-10,,,,,,,,0.5,0.000045113816177777544,0.00002128704287329697,0.9992192680856748,0.951
,4-5,,,,,,,,0.9935132484013582,0.00006154085991449953,0.00003821681175164571,0.9990928811122579,0.9704999999999999
,4-11,,,,,,,,0.5,0.000050578169600412615,0.000026776536119599292,0.9989357766424725,0.9715
,5-6,,,,,,,,0.5,0.0000536597410841777,0.00004257856270306615,0.999490722745247,0.9735
,5-12,,,,,,,,0.9932698476332862,0.0000628706764546072,0.0000387544943087903,0.9995175279675912,0.9704999999999999
,6-13,,,,,,,,0.5,0.000035643999269252546,0.000018117638791670387,0.997791607741638,0.9675
,7-8,,,,,,,,0.9928967352700503,0.00003919959046783106,0.000027112883510760355,0.9993223005730782,0.982
,7-14,,,,,,,,0.991577312555995,0.00003207867166343803,0.000025894900857248437,0.9992015095391161,0.9704999999999999
,8-9,,,,,,,,0.9913859029252085,0.00003913918261844174,0.00002039535525888425,0.9991587477548396,0.98
,8-15,,,,,,,,0.9896175446390194,0.00003986173780090585,0.000022946943177282186,0.9992040271864955,0.97
,9-10,,,,,,,,0.5,0.000034606492774869047,0.000015373825653419715,0.9989429472186191,0.9495
,9-16,,,,,,,,0.9886804865696461,0.000034984867727572144,0.000018899858802212677,0.9989448059816683,0.985
,10-11,,,,,,,,0.9618557590426549,0.00004530696990567851,0.000021145450973980573,0.9991217927078,0.943
,10-17,,,,,,,,0.8569389256241428,0.000036610567178851916,0.000019151202208189666,0.9990953426625324,0.943
,11-12,,,,,,,,0.9393989999456792,0.00005190798614052028,0.000027314218676743884,0.9993604234978057,0.9715
,11-18,,,,,,,,0.9882920017070596,0.00004454909204343327,0.000023056626848205752,0.989945494995796,0.9744999999999999
,12-13,,,,,,,,0.9438290324750602,0.00004485493463968204,0.00001429357039739454,0.9978184129639822,0.9644999999999999
,12-19,,,,,,,,0.991732750057769,0.00004643968784590058,0.000027435904292771873,0.9994726853757951,0.9704999999999999
,13-20,,,,,,,,0.9775011645029247,0.00003835197340640306,0.00001683358701354276,0.9976235588965696,0.968
,14-15,,,,,,,,0.9788172860792379,0.00003274081899651282,0.00002172896052377027,0.9990832361525332,0.9584999999999999
,14-21,,,,,,,,0.9824374754885904,0.00004211936825226914,0.000021082304413333475,0.999010901932044,0.9764999999999999
,15-16,,,,,,,,0.9894825437824146,0.00003570742291003626,0.000021451446720610612,0.9989900854133241,0.975
,15-22,,,,,,,,0.9868661820946609,0.000034058548336157735,0.000022304474596612778,0.9991615257667871,0.974
,16-17,,,,,,,,0.9745830937394517,0.000036988942131555014,0.000022677235356982628,0.9990972014255814,0.9784999999999999
,16-23,,,,,,,,0.9885310628737434,0.00003376312788527791,0.000019316888995923875,0.9991149768982177,0.9750000000000001
,17-18,,,,,,,,0.5,0.00003585268931660668,0.000021062378082414845,0.9899190449505284,0.9744999999999999
,17-24,,,,,,,,0.5,0.000042629475986877274,0.000023326953495717007,0.9991620607125853,0.9635
,18-19,,,,,,,,0.973279969132059,0.00003908079374881357,0.00002317831246423374,0.9900577568737855,0.9735
,18-25,,,,,,,,0.9775310712443165,0.000030234676136053906,0.00001810146529857004,0.9898977779189426,0.9744999999999999
,19-20,,,,,,,,0.9912245253211371,0.0000399367266126216,0.000029975920908920095,0.9992778313083827,0.974
,19-26,,,,,,,,0.9875921784256732,0.00003628991520598923,0.00002245458298189007,0.9992921805428631,0.9375
,20-27,,,,,,,,0.9903967792772858,0.00002145190519442508,0.000025809449007874186,0.9989246600731737,0.9875
,21-22,,,,,,,,0.9866477904758681,0.000043437097591914053,0.000021657818486175984,0.9990891915462978,0.992
,21-28,,,,,,,,0.9894274363502944,0.00003658679286766553,0.00002148149002556554,0.9988644015515091,0.981
,22-23,,,,,,,,0.9852366338446037,0.00003211425331139939,0.00002016991687192604,0.9992864172516807,0.974
,22-29,,,,,,,,0.9917671883557123,0.000026949908602635908,0.000020636969890297507,0.9989253744927024,0.971
,23-24,,,,,,,,0.5,0.00003940366174060017,0.000019966607134658254,0.9991798361852215,0.96
